millis,x_1,y_1,z_1,x_2,y_2,z_2
84979,8.96,-1.10,4.22,3.97,-8.78,3.56
84999,9.38,-0.93,4.44,3.07,-8.90,3.52
85019,9.24,-1.00,4.35,3.62,-8.51,3.46
85054,9.23,-1.07,4.36,3.31,-8.87,3.54
85089,9.20,-1.01,4.31,3.37,-8.68,3.82
85129,9.07,-0.91,4.48,3.36,-8.72,3.78
85165,9.19,-1.06,4.68,3.49,-8.65,3.58
85199,9.25,-1.08,4.27,3.28,-8.76,3.55
85234,9.24,-1.00,4.42,3.31,-8.87,3.56
85274,9.40,-0.99,4.51,3.51,-8.60,3.62
85309,9.32,-0.93,4.49,3.38,-8.61,3.30
85344,9.14,-1.08,4.54,3.31,-8.81,3.80
85384,9.32,-1.09,4.50,3.14,-8.76,3.43
85420,9.59,-1.22,4.49,3.39,-8.51,3.68
85454,9.60,-1.05,4.62,3.60,-8.71,3.52
85489,9.30,-1.11,4.37,3.28,-8.74,3.52
85529,8.98,-1.11,4.36,3.44,-8.65,3.57
85564,8.96,-1.11,4.48,3.34,-8.61,3.46
85599,9.10,-1.03,4.68,3.54,-8.58,3.21
85639,9.04,-1.03,4.44,3.44,-8.65,3.40
85675,9.05,-1.14,4.81,3.28,-8.63,3.81
85709,9.11,-1.06,4.47,3.52,-8.65,3.43
85744,9.16,-1.11,4.66,3.36,-8.64,3.50
85784,9.10,-1.20,4.47,3.30,-8.75,3.58
85819,9.21,-1.18,4.69,3.36,-8.79,3.72
85854,9.10,-1.22,4.69,3.43,-8.59,3.63
85894,9.14,-1.10,4.73,3.34,-8.72,3.84
85929,9.29,-1.17,4.82,3.30,-8.83,3.31
85964,9.38,-1.23,4.58,3.40,-8.68,3.46
85999,9.22,-1.35,4.81,3.33,-8.73,3.38
86039,9.12,-1.10,4.79,3.28,-8.84,3.60
86074,8.99,-1.32,4.59,3.29,-8.11,4.45
86110,9.57,-1.36,4.12,3.41,-8.87,3.85
86149,7.91,-1.13,4.25,3.44,-8.63,3.87
86184,9.66,-1.68,5.11,3.38,-8.70,3.53
86219,8.48,-1.46,4.45,3.30,-8.64,3.40
86254,9.32,-1.50,4.76,3.25,-8.68,3.65
86294,8.86,-1.27,4.31,3.40,-8.72,3.25
86329,9.24,-1.47,4.71,3.33,-8.73,3.44
