millis,x_1,y_1,z_1,x_2,y_2,z_2
123248,8.53,-1.76,4.98,2.12,-9.51,2.79
123274,8.90,-1.73,5.04,2.93,-9.05,2.82
123299,8.59,-1.77,5.04,2.41,-9.41,3.18
123323,8.68,-1.73,5.33,2.79,-9.19,2.83
123350,8.59,-1.92,5.29,2.49,-9.27,2.75
123399,8.65,-1.84,5.20,2.51,-9.22,2.75
123424,8.78,-1.92,5.14,2.66,-9.20,3.01
123473,8.61,-2.03,5.49,2.54,-9.24,2.93
123499,8.73,-1.82,5.17,2.69,-9.31,2.79
123548,8.60,-1.86,5.49,2.80,-9.24,2.99
123574,8.66,-1.90,5.23,2.65,-9.17,3.24
123624,8.37,-2.03,5.45,2.64,-9.20,2.66
123650,8.60,-2.09,5.53,2.59,-9.14,2.71
123674,8.58,-2.09,5.48,2.72,-9.07,2.86
123723,8.43,-2.05,5.40,2.61,-9.32,2.73
123749,8.32,-2.08,5.57,2.60,-9.23,2.85
123798,8.06,-2.40,5.56,2.66,-9.22,3.20
123824,8.24,-2.13,5.43,2.63,-9.25,2.83
123874,8.31,-2.09,5.74,2.66,-9.21,2.79
123899,8.17,-2.17,5.27,2.55,-9.21,2.84
123949,8.28,-2.19,5.54,2.65,-9.22,2.73
123974,8.11,-2.21,5.56,2.65,-9.23,2.56
124023,8.20,-2.23,5.78,2.81,-9.13,2.74
124075,8.34,-2.16,5.76,2.55,-9.22,2.67
124099,8.30,-2.23,5.57,2.48,-9.24,2.69
124125,8.18,-2.27,5.64,2.59,-9.18,3.08
124149,8.36,-2.17,5.45,2.58,-9.26,2.99
124198,8.14,-2.27,5.72,2.51,-9.20,2.85
124224,8.28,-2.26,5.97,2.67,-9.29,2.79
124273,8.15,-2.29,5.47,2.71,-9.25,2.91
124299,8.28,-2.23,5.57,2.74,-9.19,2.75
124349,8.26,-2.27,5.76,2.74,-9.18,2.89
124375,8.27,-2.22,5.60,2.73,-9.24,2.75
124424,8.23,-2.14,5.54,2.55,-9.24,2.98
124449,8.21,-2.24,5.78,2.58,-9.27,2.56
124474,8.19,-2.27,5.83,2.66,-9.25,2.91
124523,8.08,-2.17,5.76,2.69,-9.21,2.88
124549,8.16,-2.27,5.70,2.68,-9.16,2.69
124599,8.18,-2.25,5.80,2.73,-9.24,2.79
124624,8.07,-2.29,5.65,2.79,-9.21,2.60
124674,8.24,-2.31,6.02,2.65,-9.22,2.72
124699,8.29,-2.22,5.60,2.66,-9.28,2.78
124748,8.13,-2.15,5.55,2.68,-9.32,2.78
124774,8.10,-2.27,5.83,2.70,-9.21,2.71
124823,8.26,-2.28,5.73,2.74,-9.24,2.69
124850,8.13,-2.30,5.56,2.70,-9.25,2.63
124874,8.15,-2.28,5.52,2.65,-9.33,2.69
124923,8.17,-2.19,5.60,2.70,-9.26,3.00
124949,8.15,-2.34,5.79,2.68,-9.23,2.82
124998,8.28,-2.33,5.75,2.74,-9.31,2.90
125024,8.18,-2.26,5.66,2.75,-9.14,2.97
125073,8.17,-2.28,5.71,2.66,-9.22,2.75
125100,8.21,-2.28,5.82,2.80,-9.22,3.01
125149,8.14,-2.27,5.89,2.77,-9.37,2.97
125174,8.11,-2.19,5.88,2.42,-9.14,2.70
125224,8.10,-2.26,5.75,2.59,-9.31,2.81
125248,8.09,-2.21,5.71,2.61,-9.20,2.91
125299,8.26,-2.15,5.47,2.76,-9.28,2.89
125324,8.12,-2.24,5.64,2.66,-9.16,2.80
125349,8.11,-2.29,5.74,2.53,-9.19,2.79
125399,8.24,-2.27,5.87,2.72,-9.31,2.66
125424,8.17,-2.26,5.67,2.56,-9.19,2.75
125473,8.11,-2.29,5.85,2.66,-9.25,2.69
125499,8.27,-2.31,5.81,2.71,-9.17,2.84
125549,8.26,-2.29,5.82,2.71,-9.24,2.90
125574,8.18,-2.29,5.70,2.68,-9.18,2.49
125625,7.99,-2.26,5.72,2.55,-9.28,2.71
125648,8.00,-2.23,5.90,2.72,-9.32,2.73
125700,8.19,-2.29,5.73,2.75,-9.30,2.65
125723,8.25,-2.19,5.72,2.65,-9.23,2.72
125749,8.07,-2.21,5.80,2.56,-9.23,2.65
125798,8.15,-2.16,5.43,2.78,-9.24,2.62
125825,8.10,-2.21,5.66,2.58,-9.30,3.11
125874,8.24,-2.29,5.48,2.58,-9.26,3.04
125899,8.20,-2.33,5.42,2.61,-9.18,2.67
125949,8.19,-2.29,5.72,2.59,-9.23,2.66
125974,8.10,-2.26,5.66,2.65,-9.29,2.75
126024,8.15,-2.27,5.75,2.70,-9.31,2.76
126048,8.14,-2.29,5.67,2.56,-9.11,2.65
126100,8.23,-2.26,5.56,2.64,-9.27,2.84
126125,8.21,-2.28,5.76,2.56,-9.18,2.79
126149,8.16,-2.16,5.82,2.73,-9.33,2.68
126198,8.13,-2.23,5.85,2.60,-9.28,2.90
126224,8.24,-2.31,5.76,2.77,-9.19,2.83
